,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Dec 22, 2020",7:00p,Golden State Warriors,99.0,Brooklyn Nets,125.0,Box Score,,,
1,"Tue, Dec 22, 2020",10:00p,Los Angeles Clippers,116.0,Los Angeles Lakers,109.0,Box Score,,,
2,"Wed, Dec 23, 2020",7:00p,Charlotte Hornets,114.0,Cleveland Cavaliers,121.0,Box Score,,300.0,
3,"Wed, Dec 23, 2020",7:00p,New York Knicks,107.0,Indiana Pacers,121.0,Box Score,,0.0,
4,"Wed, Dec 23, 2020",7:00p,Miami Heat,107.0,Orlando Magic,113.0,Box Score,,3396.0,
5,"Wed, Dec 23, 2020",7:00p,Washington Wizards,107.0,Philadelphia 76ers,113.0,Box Score,,0.0,
6,"Wed, Dec 23, 2020",7:30p,New Orleans Pelicans,113.0,Toronto Raptors,99.0,Box Score,,3800.0,
7,"Wed, Dec 23, 2020",7:30p,Milwaukee Bucks,121.0,Boston Celtics,122.0,Box Score,,0.0,
8,"Wed, Dec 23, 2020",8:00p,Atlanta Hawks,124.0,Chicago Bulls,104.0,Box Score,,,
9,"Wed, Dec 23, 2020",8:00p,San Antonio Spurs,131.0,Memphis Grizzlies,119.0,Box Score,,0.0,
10,"Wed, Dec 23, 2020",8:00p,Detroit Pistons,101.0,Minnesota Timberwolves,111.0,Box Score,,,
11,"Wed, Dec 23, 2020",9:00p,Sacramento Kings,124.0,Denver Nuggets,122.0,Box Score,OT,,
12,"Wed, Dec 23, 2020",10:00p,Utah Jazz,120.0,Portland Trail Blazers,100.0,Box Score,,0.0,
13,"Wed, Dec 23, 2020",10:30p,Dallas Mavericks,102.0,Phoenix Suns,106.0,Box Score,,0.0,
14,"Fri, Dec 25, 2020",12:00p,New Orleans Pelicans,98.0,Miami Heat,111.0,Box Score,,,
15,"Fri, Dec 25, 2020",2:30p,Golden State Warriors,99.0,Milwaukee Bucks,138.0,Box Score,,,
16,"Fri, Dec 25, 2020",5:00p,Brooklyn Nets,123.0,Boston Celtics,95.0,Box Score,,,
17,"Fri, Dec 25, 2020",8:00p,Dallas Mavericks,115.0,Los Angeles Lakers,138.0,Box Score,,,
18,"Fri, Dec 25, 2020",10:30p,Los Angeles Clippers,121.0,Denver Nuggets,108.0,Box Score,,,
19,"Sat, Dec 26, 2020",5:00p,Atlanta Hawks,122.0,Memphis Grizzlies,112.0,Box Score,,,
20,"Sat, Dec 26, 2020",7:00p,Oklahoma City Thunder,109.0,Charlotte Hornets,107.0,Box Score,,,
21,"Sat, Dec 26, 2020",7:00p,Cleveland Cavaliers,128.0,Detroit Pistons,119.0,Box Score,2OT,,
22,"Sat, Dec 26, 2020",7:00p,Orlando Magic,130.0,Washington Wizards,120.0,Box Score,,,
23,"Sat, Dec 26, 2020",7:30p,Philadelphia 76ers,109.0,New York Knicks,89.0,Box Score,,,
24,"Sat, Dec 26, 2020",8:00p,Indiana Pacers,125.0,Chicago Bulls,106.0,Box Score,,,
25,"Sat, Dec 26, 2020",8:30p,Toronto Raptors,114.0,San Antonio Spurs,119.0,Box Score,,,
26,"Sat, Dec 26, 2020",9:00p,Minnesota Timberwolves,116.0,Utah Jazz,111.0,Box Score,,1932.0,
27,"Sat, Dec 26, 2020",10:00p,Houston Rockets,126.0,Portland Trail Blazers,128.0,Box Score,OT,,
